Abbreviation,Name,Reaction,GPR,Subsystem,Reversible,Lower bound,Upper bound,Objective
G5SD2,glutamate-5-semialdehyde dehydrogenase,glu5p[c] + h[c] + nadh[c] <==> glu5sa[c] + nad[c] + pi[c],MA4100,Proline Biosynthesis,0,0.0,1000,0
AKSCAL,alpha-ketosubmerate:CoA ligase,2ood[c] + accoa[c] + h2o[c] <==> glyc-R[c] + pmcoa[c],Unassigned,Biotin synthesis,0,0.0,1000,0
ACONMT,Trans-aconitate methyltransferase,amet[c] + acon-T[c] <==> ahcys[c] + aconm[c],MA1801,Central Metabolism,0,0.0,1000,0
ACYP_2,acylphosphatase (2),actp[c] + h2o[c] <==> ac[c] + h[c] + pi[c],MA3367,Central Metabolism,0,0.0,1000,0
ADPRDP,ADPribose diphosphatase,adprib[c] + h2o[c] <==> amp[c] + (2) h[c] + r5p[c],MA0113,Central Metabolism,0,0.0,1000,0
AH6PI,D-arabino-hex-3-ulose-6-phosphate isomerase,ah6p-D[c] <==> f6p[c],MA1384,Central Metabolism,1,-1000.0,1000,0
AIRCr,phosphoribosylaminoimidazole carboxylase,air[c] + co2[c] <==> 5aizc[c] + h[c],MA1376,Central Metabolism,1,-1000.0,1000,0
ALCD19x,"alcohol dehydrogenase (glycerol, NAD)",glyald[c] + h[c] + nadh[c] <==> glyc[c] + nad[c],MA2630,Central Metabolism,0,0.0,1000,0
ALCD19y,"alcohol dehydrogenase (glycerol, NADP)",glyald[c] + h[c] + nadph[c] <==> glyc[c] + nadp[c],(MA0403 or MA1901),Central Metabolism,0,0.0,1000,0
ALCD20x,alcohol dehydrogenase (2-propanol) (NAD),nad[c] + 2ppoh[c] <==> h[c] + nadh[c] + acetone[c],MA2630,Central Metabolism,1,-1000.0,1000,0
ALCD20y,alcohol dehydrogenase (2-propanol) (NADP),nadp[c] + 2ppoh[c] <==> h[c] + nadph[c] + acetone[c],((MA1901 or MA0403) or MA2630),Central Metabolism,1,-1000.0,1000,0
ALCD22_L_f420_,alcohol dehydrogenase (L-lactaldehyde),lald-L[c] + f420-2[c] + h[c] <==> mthgxl[c] + f420-2h2[c],Unassigned,Central Metabolism,1,-1000.0,1000,0
ALCD2x,alcohol dehydrogenase (ethanol),etoh[c] + nad[c] <==> acald[c] + h[c] + nadh[c],MA2630,Central Metabolism,1,-1000.0,1000,0
ALCD2y,"alcohol dehydrogenase (ethanol, NADP)",etoh[c] + nadp[c] <==> acald[c] + h[c] + nadph[c],((MA1901 or MA0403) or MA2630),Central Metabolism,1,-1000.0,1000,0
ALDD1,"aldehyde dehydrogenase (formaldehyde, NAD)",fald[c] + h2o[c] + nad[c] <==> for[c] + (2) h[c] + nadh[c],MA0417,Central Metabolism,0,0.0,1000,0
ALDD2x,"aldehyde dehydrogenase (acetaldehyde, NAD)",acald[c] + h2o[c] + nad[c] <==> ac[c] + (2) h[c] + nadh[c],(MA0705 or MA1355 or MA2860 or MA4079),Central Metabolism,0,0.0,1000,0
ALR2_f420_,methylgloxal dehydrogenase (F420),mthgxl[c] + f420-2h2[c] <==> f420-2[c] + acetol[c] + h[c],(MA0422 or MA2291 or MA2292 or MA2756),Central Metabolism,0,0.0,1000,0
CTPRIBFLVTX,CTP:riboflavin 5'-phosphotransferase,ctp[c] + ribflv[c] <==> cdp[c] + fmn[c] + h[c],MA0547,Central Metabolism,0,0.0,1000,0
DGLY3POX,D-glyceraldehyde-3-phosphate:ferredoxin oxidoreductase,(2) fdox[c] + g3p[c] + h2o[c] <==> 3pg[c] + (2) fdred[c] + (3) h[c],MA1714,Central Metabolism,0,0.0,1000,0
DKFPS2,DKFP synthase (from fructose diphosphate),mthgxl[c] + fdp[c] <==> dkfp[c] + g3p[c],(MA2666 or MA3889),Central Metabolism,1,-1000.0,1000,0
DKFPS3,DKFP synthase (from fructose-1-phosphate),f1p[c] + mthgxl[c] <==> dkfp[c] + gald[c],(MA2666 or MA3889),Central Metabolism,0,0.0,1000,0
DRBK,Deoxyribokinase,atp[c] + drib[c] <==> 2dr5p[c] + adp[c] + h[c],MA1373,Central Metabolism,0,0.0,1000,0
FBA2,D-Fructose 1-phosphate D-glyceraldehyde-3-phosphate-lyase,f1p[c] <==> dhap[c] + glyald[c],((MA2666 or MA3889) or (MA0439 or MA4591)),Central Metabolism,1,-1000.0,1000,0
FBP2,fructose-bisphosphatase (f1p-forming),fdp[c] + h2o[c] <==> pi[c] + f1p[c],Unassigned,Central Metabolism,0,0.0,1000,0
FCLPA,L-fuculose 1-phosphate aldolase,fc1p[c] <==> dhap[c] + lald-L[c],MA0263,Central Metabolism,0,0.0,1000,0
GALT,galactose-1-phosphate uridylyltransferase,gal1p[c] + h[c] + utp[c] <==> ppi[c] + udpgal[c],MA3680,Central Metabolism,0,0.0,1000,0
GALUi,UTP-glucose-1-phosphate uridylyltransferase (irreversible),g1p[c] + h[c] + utp[c] <==> ppi[c] + udpg[c],MA4459,Central Metabolism,1,-1000.0,1000,0
GCALDDr,Glycolaldehyde dehydrogenase,gcald[c] + h2o[c] + nad[c] <==> glyclt[c] + (2) h[c] + nadh[c],MA2860,Central Metabolism,0,0.0,1000,0
GLCGSD,"glucan 1,4-alpha-glucosidase",h2o[c] + glycogen[c] <==> glc-D[c],((MA1190 or MA4050) or MA2000),Central Metabolism,0,0.0,1000,0
GLCP,glycogen phosphorylase,pi[c] + glycogen[c] <==> g1p[c],(MA0905 or MA2628) or MA1874 or MA1874),Central Metabolism,0,0.0,1000,0
GLCS2,glycogen synthase (UDPGlc),udpg[c] <==> h[c] + udp[c] + glycogen[c],MA3679,Central Metabolism,0,0.0,1000,0
GLXO1,glyoxylate oxidase,h2o[c] + nad[c] + glx[c] <==> nadh[c] + (2) h[c] + oxa[c],MA2860,Central Metabolism,0,0.0,1000,0
GLYALDOX,glyceraldehyde ferredoxin oxidoreductase,(2) fdox[c] + glyald[c] + h2o[c] <==> (2) fdred[c] + glyc-R[c] + (3) h[c],(MA2962 or MA3989),Central Metabolism,0,0.0,1000,0
GMAND,GDP-D-mannose dehydratase,gdpmann[c] <==> gdpddman[c] + h2o[c],(MA1173 or MA1174),Central Metabolism,0,0.0,1000,0
HEX7,hexokinase (D-fructose:ATP),atp[c] + fru[c] <==> adp[c] + f6p[c] + h[c],MA1840,Central Metabolism,0,0.0,1000,0
HSPMS,homospermidine synthase,(2) ptrc[c] <==> hspmd[c] + nh4[c],MA1636,Central Metabolism,0,0.0,1000,0
INS2D,inositol 2-dehydrogenase,inost[c] + nad[c] <==> h[c] + nadh[c] + 2ins[c],MA4448,Central Metabolism,0,0.0,1000,0
MAN1PT,mannose-1-phosphate guanylyltransferase,gtp[c] + h[c] + man1p[c] <==> gdpmann[c] + ppi[c],MA3140,Central Metabolism,0,0.0,1000,0
MAN1PT2r,mannose-1-phosphate guanylyltransferase (GDP) reversible,gdp[c] + h[c] + man1p[c] <==> gdpmann[c] + pi[c],((MA3022 or MA3025 or MA3140) or MA3781),Central Metabolism,0,0.0,1000,0
MAN6PI,mannose-6-phosphate isomerase,man6p[c] <==> f6p[c],(MA2381 or MA3781),Central Metabolism,1,-1000.0,1000,0
ME1_rev,malic enzyme,mal-L[c] + nad[c] <==> co2[c] + nadh[c] + pyr[c],MA1735,Central Metabolism,1,-1000.0,1000,0
ME2,malic enzyme (NADP),mal-L[c] + nadp[c] <==> co2[c] + nadph[c] + pyr[c],MA1735,Central Metabolism,0,0.0,1000,0
MGSA2,methyglyoxylate synthase 2 (from g3p),g3p[c] <==> mthgxl[c] + pi[c],MA4607,Central Metabolism,0,0.0,1000,0
MI3PP,myo-inositol 3-phosphatase,h2o[c] + mi3p-D[c] <==> inost[c] + pi[c],MA3344,Central Metabolism,0,0.0,1000,0
PGLYCP,Phosphoglycolate phosphatase,2pglyc[c] + h2o[c] <==> glyclt[c] + pi[c],(MA1363 or MA2967 or MA3544),Central Metabolism,0,0.0,1000,0
PGMT,phosphoglucomutase,g1p[c] <==> g6p[c],(MA0451 or MA2665),Central Metabolism,1,-1000.0,1000,0
PMANM,phosphomannomutase,man6p[c] <==> man1p[c],((MA0241 or MA2665 or MA3024) or (MA0241 or MA2665 or MA3024)),Central Metabolism,1,-1000.0,1000,0
POR2,pyruvate synthase,accoa[c] + co2[c] + (2) fdred[c] + h[c] <==> coa[c] + (2) fdox[c] + pyr[c],(MA0032 and (MA0031 or MA2407) and MA0033 and MA0034),Central Metabolism,1,-1000.0,1000,0
POR3,pyruvate synthase,co2[c] + (2) fdred[c] + h[c] + ppcoa[c] <==> 2obut[c] + coa[c] + (2) fdox[c],((MA0032 and (MA0031 or MA2407) and MA0033 and MA0034) or (MA2909 and MA2910 and MA2911)),Central Metabolism,0,0.0,1000,0
PPA,inorganic diphosphatase,h2o[c] + ppi[c] <==> h[c] + (2) pi[c],(MA2676 or MA2676),Central Metabolism,0,0.0,1000,0
PPA2,inorganic triphosphatase,h2o[c] + pppi[c] <==> h[c] + pi[c] + ppi[c],(MA0083 or MA2351),Central Metabolism,0,0.0,1000,0
PPAKr,Propionate kinase,adp[c] + ppap[c] <==> atp[c] + ppa[c],MA3606,Central Metabolism,0,0.0,1000,0
PPDK,"Pyruvate,phosphate dikinase.",atp[c] + pi[c] + pyr[c] <==> amp[c] + h[c] + pep[c] + ppi[c],MA0608,Central Metabolism,0,0.0,1000,0
PYDXS,pyridoxal 5-phosphate synthase,gln-L[c] + g3p[c] + r5p[c] <==> (3) h2o[c] + pi[c] + pydx5p[c] + glu-L[c] + h[c],(MA1566 and MA1567),Central Metabolism,0,0.0,1000,0
PYRFALDC,Acetol synthesis,pyr[c] + fald[c] + h[c] <==> acetol[c] + co2[c],(MA3791 and MA3792),Central Metabolism,0,0.0,1000,0
R00430,pyruvate kinase (GTP),gdp[c] + pep[c] + h[c] <==> gtp[c] + pyr[c],MA3890,Central Metabolism,0,0.0,1000,0
RBK,ribokinase,atp[c] + rib-D[c] <==> adp[c] + h[c] + r5p[c],MA1373,Central Metabolism,0,0.0,1000,0
RBPC,ribulose-bisphosphate carboxylase,co2[c] + h2o[c] + rb15bp[c] <==> (2) 3pg[c] + (2) h[c],MA4555,Central Metabolism,1,-1000.0,1000,0
RU5PS,D-arabino-hex-3-ulose-6-phosphate formaldehyde-lyase (D-ribulose-5-phosphate-forming),fald[c] + ru5p-D[c] <==> ah6p-D[c],MA4608,Central Metabolism,1,-1000.0,1000,0
UAG4E,UDP-N-acetylglucosamine 4-epimerase,uacgam[c] <==> udpacgal[c],(MA1185 or MA4460 or MA4464),Central Metabolism,0,0.0,1000,0
UDPG4E,UDPglucose 4-epimerase,udpg[c] <==> udpgal[c],(MA1185 or MA4460 or MA4464),Central Metabolism,1,-1000.0,1000,0
UDPGDr,UDPglucose 6-dehydrogenase,h2o[c] + (2) nad[c] + udpg[c] <==> (3) h[c] + (2) nadh[c] + udpglcur[c],MA4457,Central Metabolism,1,-1000.0,1000,0
VOR,2-oxoisovalerate ferredoxin reductase,3mob[c] + coa[c] + (2) fdox[c] <==> co2[c] + (2) fdred[c] + ibcoa[c] + h[c],(MA2909 and MA2910 and MA2911),Central Metabolism,0,0.0,1000,0
ACONTa,"aconitase (half-reaction A, Citrate hydro-lyase)",cit[c] <==> icit[c],MA0250,Citric Acid Cycle,1,-1000.0,1000,0
CS,citrate synthase,cit[c] + coa[c] + h[c] <==> accoa[c] + h2o[c] + oaa[c],MA0249,Citric Acid Cycle,1,-1000.0,1000,0
FUM,fumarase,mal-L[c] <==> fum[c] + h2o[c],(MA1001 or (MA2497 and MA2498)),Citric Acid Cycle,1,-1000.0,1000,0
ICITRED,isocitrate dehydrogenase,icit[c] + nadp[c] <==> co2[c] + nadph[c] + akg[c],MA4265,Citric Acid Cycle,1,-1000.0,1000,0
MDH,malate dehydrogenase,mal-L[c] + nad[c] <==> h[c] + nadh[c] + oaa[c],(MA0819 or MA3665),Citric Acid Cycle,1,-1000.0,1000,0
OORr,2-oxoglutarate synthase (reversible),akg[c] + coa[c] + (2) fdox[c] <==> co2[c] + (2) fdred[c] + succoa[c] + h[c],(MA3075 and MA3076),Citric Acid Cycle,0,0.0,1000,0
PPC,phosphoenolpyruvate carboxylase,co2[c] + h2o[c] + pep[c] <==> h[c] + oaa[c] + pi[c],MA2690,Citric Acid Cycle,0,0.0,1000,0
ACCOAL2r,acetate-CoA ligase (ADP-forming),atp[c] + coa[c] + ppa[c] <==> adp[c] + pi[c] + ppcoa[c],(MA3168 and MA3602),Coenzyme A Biosynthesis,0,0.0,1000,0
DPCOAK,dephospho-CoA kinase,atp[c] + dpcoa[c] <==> adp[c] + coa[c] + h[c],MA4660,Coenzyme A Biosynthesis,0,0.0,1000,0
DPR,2-dehydropantoate 2-reductase,h[c] + nadph[c] + 2dhp[c] <==> nadp[c] + pant-R[c],Unassigned,Coenzyme A Biosynthesis,0,0.0,1000,0
MOHMT,3-methyl-2-oxobutanoate hydroxymethyltransferase,3mob[c] + h2o[c] + mlthf[c] <==> thf[c] + 2dhp[c],Unassigned,Coenzyme A Biosynthesis,0,0.0,1000,0
POK,pantothenate synthase (adp-forming),atp[c] + pant-R[c] <==> adp[c] + ppant-R[c] + h[c],MA1278,Coenzyme A Biosynthesis,0,0.0,1000,0
PPCDC,phosphopantothenoylcysteine decarboxylase,4ppcys[c] + h[c] <==> co2[c] + pan4p[c],MA1280,Coenzyme A Biosynthesis,0,0.0,1000,0
PPNCL2,phosphopantothenate-cysteine ligase,4ppan[c] + ctp[c] + cys-L[c] <==> 4ppcys[c] + cmp[c] + h[c] + ppi[c],MA1280,Coenzyme A Biosynthesis,0,0.0,1000,0
PPTS,phosphopantothenate synthetase,ppant-R[c] + ala-B[c] + atp[c] <==> amp[c] + ppi[c] + h[c] + 4ppan[c],MA1278,Coenzyme A Biosynthesis,0,0.0,1000,0
PTPATi,pantetheine-phosphate adenylyltransferase,atp[c] + h[c] + pan4p[c] <==> dpcoa[c] + ppi[c],MA3546,Coenzyme A Biosynthesis,1,-1000.0,1000,0
7MHS,7-mercaptoheptanoate synthase,7ohp[c] + cys-L[c] + h[c] + nadh[c] <==> 7mhp[c] + nad[c] + ser-L[c],Unassigned,Coenzyme B Biosynthesis,0,0.0,1000,0
7MHTS,7-mercaptoheptanoylthreonine synthase,7mhp[c] + atp[c] + thr-L[c] <==> 7mht[c] + adp[c] + h[c] + pi[c],(MA0339 or MA4006),Coenzyme B Biosynthesis,0,0.0,1000,0
AKACAL,alpha-ketoadipate:CoA ligase,accoa[c] + h2o[c] + ohexa[c] <==> Rh2cit[c] + coa[c] + h[c],(MA1225 or MA3342 or MA3793 or MA4264 or MA4615),Coenzyme B Biosynthesis,0,0.0,1000,0
AKGCAL,alpha-ketoglutarate:CoA ligase,accoa[c] + akg[c] <==> coa[c] + h[c] + hacon-T[c],(MA1225 or MA3342 or MA3793 or MA4264 or MA4615),Coenzyme B Biosynthesis,0,0.0,1000,0
AKPCAL,alpha-ketopimelate:CoA ligase,accoa[c] + h2o[c] + ohepa[c] <==> Rh3cit[c] + coa[c] + h[c],(MA1225 or MA3342 or MA3793 or MA4264 or MA4615),Coenzyme B Biosynthesis,0,0.0,1000,0
AKSDC,alpha-ketosubmerate decarboxylase,2ood[c] + h[c] <==> 7ohp[c] + co2[c],Unassigned,Coenzyme B Biosynthesis,0,0.0,1000,0
CH2ACH,cis-(homo)2aconitate hydrolase,h2acon-C[c] + h2o[c] <==> tih2cit[c],((MA1393 or MA3085) and (MA0202 or MA1223 or MA3751)),Coenzyme B Biosynthesis,1,-1000.0,1000,0
CH3ACH,cis-(homo)3aconitate hydrolase,h2o[c] + h3acon-C[c] <==> tih3cit[c],((MA1393 or MA3085) and (MA0202 or MA1223 or MA3751)),Coenzyme B Biosynthesis,1,-1000.0,1000,0
CHACH,cis-homoaconitate hydrolase,h2o[c] + hacon-C[c] <==> ihcit-T[c],((MA1393 or MA3085) and (MA0202 or MA1223 or MA3751)),Coenzyme B Biosynthesis,1,-1000.0,1000,0
COBS,coenzyme b synthatse,7mht[c] + atp[c] <==> adp[c] + cob[c] + h[c],MA0339,Coenzyme B Biosynthesis,0,0.0,1000,0
RH2CD,(R)-(homo)2citrate dehydratase,Rh2cit[c] <==> h2acon-C[c] + h2o[c],((MA1393 or MA3085) and (MA0202 or MA1223 or MA3751)),Coenzyme B Biosynthesis,1,-1000.0,1000,0
RH3CD,(R)-(homo)3citrate dehydratase,Rh3cit[c] <==> h2o[c] + h3acon-C[c],((MA1393 or MA3085) and (MA0202 or MA1223 or MA3751)),Coenzyme B Biosynthesis,1,-1000.0,1000,0
SHCD,(S)-homocitrate dehydratase,Shcit[c] <==> h2o[c] + hacon-C[c],(MA3085 and MA3751),Coenzyme B Biosynthesis,1,-1000.0,1000,0
THACH,trans-homoaconitate hydrolase,h2o[c] + hacon-T[c] <==> Shcit[c],Unassigned,Coenzyme B Biosynthesis,1,-1000.0,1000,0
TIH2CD,threo-iso(homo)2citrate dehydrogenase,nad[c] + tih2cit[c] <==> co2[c] + nadh[c] + ohepa[c],(MA0201 or MA3748 or MA4265),Coenzyme B Biosynthesis,0,0.0,1000,0
TIH3CD,threo-iso(homo)3citrate dehydrogenase,nad[c] + tih3cit[c] <==> 2ood[c] + co2[c] + nadh[c],(MA0201 or MA3748 or MA4265),Coenzyme B Biosynthesis,0,0.0,1000,0
TIHCD,threo-isohomocitrate dehydrogenase,ihcit-T[c] + nad[c] <==> co2[c] + nadh[c] + ohexa[c],(MA0201 or MA3748 or MA4265),Coenzyme B Biosynthesis,0,0.0,1000,0
COMS,coenzyme M synthase,h2o[c] + sec[c] <==> com[c] + nh4[c] + pyr[c],Unassigned,Coenzyme M Biosynthesis,0,0.0,1000,0
LCYSTAT,L-Cysteate:2-oxoglutarate aminotransferase,Lcyst[c] + akg[c] <==> 3spyr[c] + glu-L[c],(MA0636 or MA1385 or MA1819),Coenzyme M Biosynthesis,1,-1000.0,1000,0
LCYSTS,selanocystathionine beta-synthase,pser-L[c] + so3[c] + h[c] <==> Lcyst[c] + pi[c],MA3297,Coenzyme M Biosynthesis,0,0.0,1000,0
SECS,sulfoethylcysteine synthase,2tcc[c] + h[c] + nadh[c] <==> nad[c] + sec[c],Unassigned,Coenzyme M Biosynthesis,0,0.0,1000,0
SMTZS,sulfomethyl thiazolidine synthase,2saa[c] + cys-L[c] <==> 2tcc[c] + h2o[c],Unassigned,Coenzyme M Biosynthesis,0,0.0,1000,0
SPDC,sulfopyruvate decarboxylase,3spyr[c] + h[c] <==> 2saa[c] + co2[c],MA3298,Coenzyme M Biosynthesis,0,0.0,1000,0
ACSERHS,O3-Acetyl-L-serine acetate-lyase (adding hydrogen sulfide),acser[c] + trdrd[c] + tsul[c] <==> ac[c] + cys-L[c] + h[c] + so3[c] + trdox[c],Unassigned,Cysteine Metabolism,0,0.0,1000,0
ADSK,adenylyl-sulfate kinase,atp[c] + aps[c] <==> adp[c] + h[c] + paps[c],MA4246,Cysteine Metabolism,0,0.0,1000,0
CYSDS,Cysteine Desulfhydrase,cys-L[c] + h2o[c] <==> h2s[c] + nh4[c] + pyr[c],(MA2532 or MA2715),Cysteine Metabolism,0,0.0,1000,0
CYSSr,cysteine synthase,acser[c] + h2s[c] <==> ac[c] + cys-L[c] + h[c],MA2720,Cysteine Metabolism,0,0.0,1000,0
CYSTA,cysteine transaminase,akg[c] + cys-L[c] <==> glu-L[c] + mercppyr[c],(MA0636 or MA1385 or MA1819),Cysteine Metabolism,0,0.0,1000,0
CYSTRS,Cysteinyl-tRNA synthetase,atp[c] + cys-L[c] + trnacys[c] <==> amp[c] + ppi[c] + cystrna[c],MA0749,Cysteine Metabolism,0,0.0,1000,0
